Pokemon,CP,Level,IV_Attack,IV_Defense,IV_HP,Evolution(CP),Collected,Collected_Shadow,Collected_Purified
Bulbasaur,520,LV19.5,2,6,5,Bulbasaur(520)-Ivysaur(822)-Venusaur(1357),YES,YES,NO
Bulbasaur,520,LV19,2,6,12,Bulbasaur(520)-Ivysaur(818)-Venusaur(1345),YES,YES,NO
Bulbasaur,520,LV19,2,11,6,Bulbasaur(520)-Ivysaur(816)-Venusaur(1342),YES,YES,NO
Bulbasaur,520,LV19,2,12,5,Bulbasaur(520)-Ivysaur(816)-Venusaur(1342),YES,YES,NO
Bulbasaur,520,LV19,2,13,4,Bulbasaur(520)-Ivysaur(816)-Venusaur(1342),YES,YES,NO
Bulbasaur,520,LV18.5,2,13,11,Bulbasaur(520)-Ivysaur(812)-Venusaur(1330),YES,YES,NO
Bulbasaur,520,LV19,2,14,3,Bulbasaur(520)-Ivysaur(817)-Venusaur(1342),YES,YES,NO
Bulbasaur,520,LV18.5,2,14,10,Bulbasaur(520)-Ivysaur(812)-Venusaur(1330),YES,YES,NO
Bulbasaur,520,LV19,2,15,2,Bulbasaur(520)-Ivysaur(817)-Venusaur(1342),YES,YES,NO
Bulbasaur,520,LV18.5,2,15,9,Bulbasaur(520)-Ivysaur(813)-Venusaur(1330),YES,YES,NO
Bulbasaur,520,LV20,3,0,3,Bulbasaur(520)-Ivysaur(826)-Venusaur(1370),YES,YES,NO
Bulbasaur,520,LV19.5,3,2,7,Bulbasaur(520)-Ivysaur(821)-Venusaur(1356),YES,YES,NO
Bulbasaur,520,LV19.5,3,3,6,Bulbasaur(520)-Ivysaur(821)-Venusaur(1356),YES,YES,NO
Bulbasaur,520,LV19,3,3,13,Bulbasaur(520)-Ivysaur(817)-Venusaur(1345),YES,YES,NO
Bulbasaur,520,LV19.5,3,4,5,Bulbasaur(520)-Ivysaur(821)-Venusaur(1356),YES,YES,NO
Bulbasaur,520,LV19,3,4,12,Bulbasaur(520)-Ivysaur(818)-Venusaur(1345),YES,YES,NO
Bulbasaur,520,LV19,3,5,11,Bulbasaur(520)-Ivysaur(818)-Venusaur(1345),YES,YES,NO
Bulbasaur,520,LV19,3,9,6,Bulbasaur(520)-Ivysaur(816)-Venusaur(1342),YES,YES,NO
Bulbasaur,520,LV19,3,10,5,Bulbasaur(520)-Ivysaur(816)-Venusaur(1342),YES,YES,NO
Bulbasaur,520,LV19,3,11,4,Bulbasaur(520)-Ivysaur(817)-Venusaur(1342),YES,YES,NO
Bulbasaur,520,LV18.5,3,11,11,Bulbasaur(520)-Ivysaur(812)-Venusaur(1330),YES,YES,NO
Bulbasaur,520,LV19,3,12,3,Bulbasaur(520)-Ivysaur(817)-Venusaur(1342),YES,YES,NO
Bulbasaur,520,LV18.5,3,12,10,Bulbasaur(520)-Ivysaur(813)-Venusaur(1330),YES,YES,NO
Bulbasaur,520,LV19,3,13,2,Bulbasaur(520)-Ivysaur(817)-Venusaur(1342),YES,YES,NO
Bulbasaur,520,LV18.5,3,13,9,Bulbasaur(520)-Ivysaur(813)-Venusaur(1330),YES,YES,NO
Bulbasaur,520,LV19,3,14,1,Bulbasaur(520)-Ivysaur(817)-Venusaur(1341),YES,YES,NO
Bulbasaur,520,LV18.5,3,14,8,Bulbasaur(520)-Ivysaur(813)-Venusaur(1330),YES,YES,NO
Bulbasaur,520,LV18.5,3,15,7,Bulbasaur(520)-Ivysaur(813)-Venusaur(1330),YES,YES,NO
Bulbasaur,520,LV19.5,4,1,6,Bulbasaur(520)-Ivysaur(821)-Venusaur(1356),YES,YES,NO
Bulbasaur,520,LV19.5,4,2,5,Bulbasaur(520)-Ivysaur(821)-Venusaur(1356),YES,YES,NO
Bulbasaur,520,LV19,4,2,12,Bulbasaur(520)-Ivysaur(817)-Venusaur(1345),YES,YES,NO
Bulbasaur,520,LV19.5,4,3,4,Bulbasaur(520)-Ivysaur(821)-Venusaur(1356),YES,YES,NO
Bulbasaur,520,LV19,4,3,11,Bulbasaur(520)-Ivysaur(818)-Venusaur(1345),YES,YES,NO
Bulbasaur,520,LV18.5,4,6,15,Bulbasaur(520)-Ivysaur(814)-Venusaur(1333),YES,YES,NO
Bulbasaur,520,LV19,4,7,6,Bulbasaur(520)-Ivysaur(816)-Venusaur(1342),YES,YES,NO
Bulbasaur,520,LV19,4,8,5,Bulbasaur(520)-Ivysaur(816)-Venusaur(1342),YES,YES,NO
Bulbasaur,520,LV19,4,9,4,Bulbasaur(520)-Ivysaur(816)-Venusaur(1342),YES,YES,NO
Bulbasaur,520,LV18.5,4,9,11,Bulbasaur(520)-Ivysaur(812)-Venusaur(1330),YES,YES,NO
Bulbasaur,520,LV19,4,10,3,Bulbasaur(520)-Ivysaur(817)-Venusaur(1342),YES,YES,NO
Bulbasaur,520,LV18.5,4,10,10,Bulbasaur(520)-Ivysaur(813)-Venusaur(1330),YES,YES,NO
Bulbasaur,520,LV19,4,11,2,Bulbasaur(520)-Ivysaur(817)-Venusaur(1342),YES,YES,NO
Bulbasaur,520,LV18.5,4,11,9,Bulbasaur(520)-Ivysaur(813)-Venusaur(1330),YES,YES,NO
Bulbasaur,520,LV18.5,4,12,8,Bulbasaur(520)-Ivysaur(813)-Venusaur(1330),YES,YES,NO
Bulbasaur,520,LV18,4,13,14,Bulbasaur(520)-Ivysaur(808)-Venusaur(1317),YES,YES,NO
Bulbasaur,520,LV18,4,14,13,Bulbasaur(520)-Ivysaur(808)-Venusaur(1317),YES,YES,NO
Bulbasaur,520,LV18,4,15,12,Bulbasaur(520)-Ivysaur(808)-Venusaur(1317),YES,YES,NO
Bulbasaur,520,LV19.5,5,0,5,Bulbasaur(520)-Ivysaur(821)-Venusaur(1356),YES,YES,NO
Bulbasaur,520,LV19.5,5,1,4,Bulbasaur(520)-Ivysaur(821)-Venusaur(1356),YES,YES,NO
Bulbasaur,520,LV19,5,1,11,Bulbasaur(520)-Ivysaur(817)-Venusaur(1345),YES,YES,NO
Bulbasaur,520,LV19.5,5,2,3,Bulbasaur(520)-Ivysaur(821)-Venusaur(1356),YES,YES,NO
Bulbasaur,520,LV19,5,2,10,Bulbasaur(520)-Ivysaur(818)-Venusaur(1345),YES,YES,NO
Bulbasaur,520,LV18.5,5,4,15,Bulbasaur(520)-Ivysaur(814)-Venusaur(1333),YES,YES,NO
Bulbasaur,520,LV19,5,6,5,Bulbasaur(520)-Ivysaur(816)-Venusaur(1342),YES,YES,NO
Bulbasaur,520,LV19,5,7,4,Bulbasaur(520)-Ivysaur(816)-Venusaur(1342),YES,YES,NO
Bulbasaur,520,LV18.5,5,7,11,Bulbasaur(520)-Ivysaur(812)-Venusaur(1330),YES,YES,NO
Bulbasaur,520,LV19,5,8,3,Bulbasaur(520)-Ivysaur(816)-Venusaur(1342),YES,YES,NO
Bulbasaur,520,LV18.5,5,8,10,Bulbasaur(520)-Ivysaur(812)-Venusaur(1330),YES,YES,NO
Bulbasaur,520,LV19,5,9,2,Bulbasaur(520)-Ivysaur(817)-Venusaur(1341),YES,YES,NO
Bulbasaur,520,LV18.5,5,9,9,Bulbasaur(520)-Ivysaur(813)-Venusaur(1330),YES,YES,NO
Bulbasaur,520,LV18.5,5,10,8,Bulbasaur(520)-Ivysaur(813)-Venusaur(1330),YES,YES,NO
Bulbasaur,520,LV18,5,11,14,Bulbasaur(520)-Ivysaur(808)-Venusaur(1317),YES,YES,NO
Bulbasaur,520,LV18,5,12,13,Bulbasaur(520)-Ivysaur(808)-Venusaur(1317),YES,YES,NO
Bulbasaur,520,LV18,5,13,12,Bulbasaur(520)-Ivysaur(808)-Venusaur(1317),YES,YES,NO
Bulbasaur,520,LV18,5,14,11,Bulbasaur(520)-Ivysaur(808)-Venusaur(1317),YES,YES,NO
Bulbasaur,520,LV18,5,15,10,Bulbasaur(520)-Ivysaur(809)-Venusaur(1317),YES,YES,NO
Bulbasaur,520,LV19.5,6,0,3,Bulbasaur(520)-Ivysaur(821)-Venusaur(1355),YES,YES,NO
Bulbasaur,520,LV19,6,0,10,Bulbasaur(520)-Ivysaur(817)-Venusaur(1344),YES,YES,NO
Bulbasaur,520,LV19.5,6,1,2,Bulbasaur(520)-Ivysaur(821)-Venusaur(1355),YES,YES,NO
Bulbasaur,520,LV19,6,1,9,Bulbasaur(520)-Ivysaur(818)-Venusaur(1344),YES,YES,NO
Bulbasaur,520,LV19.5,6,2,1,Bulbasaur(520)-Ivysaur(821)-Venusaur(1355),YES,YES,NO
Bulbasaur,520,LV18.5,6,2,15,Bulbasaur(520)-Ivysaur(813)-Venusaur(1332),YES,YES,NO
Bulbasaur,520,LV18.5,6,3,14,Bulbasaur(520)-Ivysaur(814)-Venusaur(1332),YES,YES,NO
Bulbasaur,520,LV19,6,5,4,Bulbasaur(520)-Ivysaur(816)-Venusaur(1341),YES,YES,NO
Bulbasaur,520,LV19,6,6,3,Bulbasaur(520)-Ivysaur(816)-Venusaur(1341),YES,YES,NO
Bulbasaur,520,LV18.5,6,6,10,Bulbasaur(520)-Ivysaur(812)-Venusaur(1329),YES,YES,NO
Bulbasaur,520,LV19,6,7,2,Bulbasaur(520)-Ivysaur(816)-Venusaur(1341),YES,YES,NO
Bulbasaur,520,LV18.5,6,7,9,Bulbasaur(520)-Ivysaur(812)-Venusaur(1330),YES,YES,NO
Bulbasaur,520,LV19,6,8,1,Bulbasaur(520)-Ivysaur(816)-Venusaur(1341),YES,YES,NO
Bulbasaur,520,LV18.5,6,8,8,Bulbasaur(520)-Ivysaur(813)-Venusaur(1330),YES,YES,NO
Bulbasaur,520,LV18,6,10,13,Bulbasaur(520)-Ivysaur(808)-Venusaur(1317),YES,YES,NO
Bulbasaur,520,LV18,6,11,12,Bulbasaur(520)-Ivysaur(808)-Venusaur(1317),YES,YES,NO
Bulbasaur,520,LV18,6,12,11,Bulbasaur(520)-Ivysaur(808)-Venusaur(1317),YES,YES,NO
Bulbasaur,520,LV19.5,7,0,1,Bulbasaur(520)-Ivysaur(821)-Venusaur(1355),YES,YES,NO
Bulbasaur,520,LV19,7,0,8,Bulbasaur(520)-Ivysaur(817)-Venusaur(1344),YES,YES,NO
Bulbasaur,520,LV19.5,7,1,0,Bulbasaur(520)-Ivysaur(821)-Venusaur(1355),YES,YES,NO
Bulbasaur,520,LV18.5,7,1,14,Bulbasaur(520)-Ivysaur(813)-Venusaur(1332),YES,YES,NO
Bulbasaur,520,LV18.5,7,2,13,Bulbasaur(520)-Ivysaur(814)-Venusaur(1332),YES,YES,NO
Bulbasaur,520,LV19,7,4,3,Bulbasaur(520)-Ivysaur(816)-Venusaur(1341),YES,YES,NO
Bulbasaur,520,LV19,7,5,2,Bulbasaur(520)-Ivysaur(816)-Venusaur(1341),YES,YES,NO
Bulbasaur,520,LV18.5,7,5,9,Bulbasaur(520)-Ivysaur(812)-Venusaur(1329),YES,YES,NO
Bulbasaur,520,LV19,7,6,1,Bulbasaur(520)-Ivysaur(816)-Venusaur(1341),YES,YES,NO
Bulbasaur,520,LV18.5,7,6,8,Bulbasaur(520)-Ivysaur(812)-Venusaur(1329),YES,YES,NO
Bulbasaur,520,LV19,7,7,0,Bulbasaur(520)-Ivysaur(816)-Venusaur(1341),YES,YES,NO
Bulbasaur,520,LV18.5,7,7,7,Bulbasaur(520)-Ivysaur(813)-Venusaur(1329),YES,YES,NO
Bulbasaur,520,LV18,7,8,13,Bulbasaur(520)-Ivysaur(808)-Venusaur(1316),YES,YES,NO
Bulbasaur,520,LV18,7,9,12,Bulbasaur(520)-Ivysaur(808)-Venusaur(1316),YES,YES,NO
Bulbasaur,520,LV18,7,10,11,Bulbasaur(520)-Ivysaur(808)-Venusaur(1316),YES,YES,NO
Bulbasaur,520,LV18,7,11,10,Bulbasaur(520)-Ivysaur(809)-Venusaur(1316),YES,YES,NO
Bulbasaur,520,LV17.5,7,14,14,Bulbasaur(520)-Ivysaur(803)-Venusaur(1302),YES,YES,NO
Bulbasaur,520,LV17.5,7,15,13,Bulbasaur(520)-Ivysaur(803)-Venusaur(1302),YES,YES,NO
Bulbasaur,520,LV18.5,8,0,13,Bulbasaur(520)-Ivysaur(813)-Venusaur(1332),YES,YES,NO
Bulbasaur,520,LV18.5,8,1,12,Bulbasaur(520)-Ivysaur(813)-Venusaur(1332),YES,YES,NO
Bulbasaur,520,LV19,8,3,2,Bulbasaur(520)-Ivysaur(816)-Venusaur(1341),YES,YES,NO
Bulbasaur,520,LV19,8,4,1,Bulbasaur(520)-Ivysaur(816)-Venusaur(1340),YES,YES,NO
Bulbasaur,520,LV18.5,8,4,8,Bulbasaur(520)-Ivysaur(812)-Venusaur(1329),YES,YES,NO
Bulbasaur,520,LV19,8,5,0,Bulbasaur(520)-Ivysaur(816)-Venusaur(1340),YES,YES,NO
Bulbasaur,520,LV18.5,8,5,7,Bulbasaur(520)-Ivysaur(812)-Venusaur(1329),YES,YES,NO
Bulbasaur,520,LV18.5,8,6,6,Bulbasaur(520)-Ivysaur(812)-Venusaur(1329),YES,YES,NO
Bulbasaur,520,LV18,8,7,12,Bulbasaur(520)-Ivysaur(808)-Venusaur(1316),YES,YES,NO
Bulbasaur,520,LV18,8,8,11,Bulbasaur(520)-Ivysaur(808)-Venusaur(1316),YES,YES,NO
Bulbasaur,520,LV18,8,9,10,Bulbasaur(520)-Ivysaur(808)-Venusaur(1316),YES,YES,NO
Bulbasaur,520,LV17.5,8,12,14,Bulbasaur(520)-Ivysaur(803)-Venusaur(1302),YES,YES,NO
Bulbasaur,520,LV17.5,8,13,13,Bulbasaur(520)-Ivysaur(803)-Venusaur(1302),YES,YES,NO
Bulbasaur,520,LV17.5,8,14,12,Bulbasaur(520)-Ivysaur(804)-Venusaur(1302),YES,YES,NO
Bulbasaur,520,LV17.5,8,15,11,Bulbasaur(520)-Ivysaur(804)-Venusaur(1302),YES,YES,NO
Bulbasaur,520,LV18.5,9,0,11,Bulbasaur(520)-Ivysaur(813)-Venusaur(1331),YES,YES,NO
Bulbasaur,520,LV19,9,3,0,Bulbasaur(520)-Ivysaur(816)-Venusaur(1340),YES,YES,NO
Bulbasaur,520,LV18.5,9,3,7,Bulbasaur(520)-Ivysaur(812)-Venusaur(1329),YES,YES,NO
Bulbasaur,520,LV18,9,3,15,Bulbasaur(520)-Ivysaur(809)-Venusaur(1319),YES,YES,NO
Bulbasaur,520,LV18.5,9,4,6,Bulbasaur(520)-Ivysaur(812)-Venusaur(1329),YES,YES,NO
Bulbasaur,520,LV18.5,9,5,5,Bulbasaur(520)-Ivysaur(812)-Venusaur(1329),YES,YES,NO
Bulbasaur,520,LV18,9,6,11,Bulbasaur(520)-Ivysaur(808)-Venusaur(1316),YES,YES,NO
Bulbasaur,520,LV18,9,7,10,Bulbasaur(520)-Ivysaur(808)-Venusaur(1316),YES,YES,NO
Bulbasaur,520,LV18,9,8,9,Bulbasaur(520)-Ivysaur(808)-Venusaur(1316),YES,YES,NO
Bulbasaur,520,LV17.5,9,11,13,Bulbasaur(520)-Ivysaur(803)-Venusaur(1302),YES,YES,NO
Bulbasaur,520,LV17.5,9,12,12,Bulbasaur(520)-Ivysaur(803)-Venusaur(1302),YES,YES,NO
Bulbasaur,520,LV17.5,9,13,11,Bulbasaur(520)-Ivysaur(804)-Venusaur(1302),YES,YES,NO
Bulbasaur,520,LV18,9,14,2,Bulbasaur(520)-Ivysaur(806)-Venusaur(1312),YES,YES,NO
Bulbasaur,520,LV17.5,9,14,10,Bulbasaur(520)-Ivysaur(804)-Venusaur(1302),YES,YES,NO
Bulbasaur,520,LV18,9,15,1,Bulbasaur(520)-Ivysaur(806)-Venusaur(1312),YES,YES,NO
Bulbasaur,520,LV18,10,1,15,Bulbasaur(520)-Ivysaur(809)-Venusaur(1318),YES,YES,NO
Bulbasaur,520,LV18,10,2,14,Bulbasaur(520)-Ivysaur(809)-Venusaur(1318),YES,YES,NO
Bulbasaur,520,LV18.5,10,3,5,Bulbasaur(520)-Ivysaur(812)-Venusaur(1328),YES,YES,NO
Bulbasaur,520,LV18.5,10,4,4,Bulbasaur(520)-Ivysaur(812)-Venusaur(1328),YES,YES,NO
Bulbasaur,520,LV18.5,10,5,3,Bulbasaur(520)-Ivysaur(812)-Venusaur(1328),YES,YES,NO
Bulbasaur,520,LV18,10,5,10,Bulbasaur(520)-Ivysaur(808)-Venusaur(1316),YES,YES,NO
Bulbasaur,520,LV18,10,6,9,Bulbasaur(520)-Ivysaur(808)-Venusaur(1316),YES,YES,NO
Bulbasaur,520,LV18,10,7,8,Bulbasaur(520)-Ivysaur(808)-Venusaur(1316),YES,YES,NO
Bulbasaur,520,LV17.5,10,10,12,Bulbasaur(520)-Ivysaur(803)-Venusaur(1302),YES,YES,NO
Bulbasaur,520,LV17.5,10,11,11,Bulbasaur(520)-Ivysaur(803)-Venusaur(1302),YES,YES,NO
Bulbasaur,520,LV17.5,10,12,10,Bulbasaur(520)-Ivysaur(804)-Venusaur(1302),YES,YES,NO
Bulbasaur,520,LV18,10,13,1,Bulbasaur(520)-Ivysaur(806)-Venusaur(1312),YES,YES,NO
Bulbasaur,520,LV18,10,14,0,Bulbasaur(520)-Ivysaur(806)-Venusaur(1312),YES,YES,NO
Bulbasaur,520,LV18,11,0,14,Bulbasaur(520)-Ivysaur(808)-Venusaur(1318),YES,YES,NO
Bulbasaur,520,LV18,11,1,13,Bulbasaur(520)-Ivysaur(809)-Venusaur(1318),YES,YES,NO
Bulbasaur,520,LV18.5,11,2,4,Bulbasaur(520)-Ivysaur(812)-Venusaur(1328),YES,YES,NO
Bulbasaur,520,LV18.5,11,3,3,Bulbasaur(520)-Ivysaur(812)-Venusaur(1328),YES,YES,NO
Bulbasaur,520,LV18.5,11,4,2,Bulbasaur(520)-Ivysaur(812)-Venusaur(1328),YES,YES,NO
Bulbasaur,520,LV18,11,4,9,Bulbasaur(520)-Ivysaur(807)-Venusaur(1315),YES,YES,NO
Bulbasaur,520,LV18.5,11,5,1,Bulbasaur(520)-Ivysaur(812)-Venusaur(1328),YES,YES,NO
Bulbasaur,520,LV18,11,5,8,Bulbasaur(520)-Ivysaur(808)-Venusaur(1315),YES,YES,NO
Bulbasaur,520,LV18,11,6,7,Bulbasaur(520)-Ivysaur(808)-Venusaur(1315),YES,YES,NO
Bulbasaur,520,LV17.5,11,9,11,Bulbasaur(520)-Ivysaur(803)-Venusaur(1302),YES,YES,NO
Bulbasaur,520,LV17.5,11,10,10,Bulbasaur(520)-Ivysaur(803)-Venusaur(1302),YES,YES,NO
Bulbasaur,520,LV17.5,11,11,9,Bulbasaur(520)-Ivysaur(804)-Venusaur(1302),YES,YES,NO
Bulbasaur,520,LV18,12,0,12,Bulbasaur(520)-Ivysaur(809)-Venusaur(1318),YES,YES,NO
Bulbasaur,520,LV18.5,12,2,2,Bulbasaur(520)-Ivysaur(811)-Venusaur(1327),YES,YES,NO
Bulbasaur,520,LV18.5,12,3,1,Bulbasaur(520)-Ivysaur(812)-Venusaur(1327),YES,YES,NO
Bulbasaur,520,LV18.5,12,4,0,Bulbasaur(520)-Ivysaur(812)-Venusaur(1327),YES,YES,NO
Bulbasaur,520,LV18,12,4,7,Bulbasaur(520)-Ivysaur(807)-Venusaur(1315),YES,YES,NO
Bulbasaur,520,LV17.5,12,4,15,Bulbasaur(520)-Ivysaur(804)-Venusaur(1304),YES,YES,NO
Bulbasaur,520,LV18,12,5,6,Bulbasaur(520)-Ivysaur(808)-Venusaur(1315),YES,YES,NO
Bulbasaur,520,LV18,12,6,5,Bulbasaur(520)-Ivysaur(808)-Venusaur(1315),YES,YES,NO
Bulbasaur,520,LV17.5,12,8,10,Bulbasaur(520)-Ivysaur(803)-Venusaur(1301),YES,YES,NO
Bulbasaur,520,LV17.5,12,9,9,Bulbasaur(520)-Ivysaur(803)-Venusaur(1301),YES,YES,NO
Bulbasaur,520,LV17.5,12,10,8,Bulbasaur(520)-Ivysaur(803)-Venusaur(1301),YES,YES,NO
Bulbasaur,520,LV17,12,11,15,Bulbasaur(520)-Ivysaur(800)-Venusaur(1289),YES,YES,NO
Bulbasaur,520,LV17,12,15,10,Bulbasaur(520)-Ivysaur(798)-Venusaur(1286),YES,YES,NO
Bulbasaur,520,LV18,13,0,10,Bulbasaur(520)-Ivysaur(809)-Venusaur(1317),YES,YES,NO
Bulbasaur,520,LV18.5,13,2,0,Bulbasaur(520)-Ivysaur(811)-Venusaur(1326),YES,YES,NO
Bulbasaur,520,LV17.5,13,2,15,Bulbasaur(520)-Ivysaur(804)-Venusaur(1303),YES,YES,NO
Bulbasaur,520,LV18,13,3,6,Bulbasaur(520)-Ivysaur(807)-Venusaur(1314),YES,YES,NO
Bulbasaur,520,LV17.5,13,3,14,Bulbasaur(520)-Ivysaur(804)-Venusaur(1304),YES,YES,NO
Bulbasaur,520,LV18,13,4,5,Bulbasaur(520)-Ivysaur(807)-Venusaur(1314),YES,YES,NO
Bulbasaur,520,LV17.5,13,4,13,Bulbasaur(520)-Ivysaur(804)-Venusaur(1304),YES,YES,NO
Bulbasaur,520,LV18,13,5,4,Bulbasaur(520)-Ivysaur(808)-Venusaur(1314),YES,YES,NO
Bulbasaur,520,LV18,13,6,3,Bulbasaur(520)-Ivysaur(808)-Venusaur(1314),YES,YES,NO
Bulbasaur,520,LV17.5,13,7,9,Bulbasaur(520)-Ivysaur(803)-Venusaur(1301),YES,YES,NO
Bulbasaur,520,LV17.5,13,8,8,Bulbasaur(520)-Ivysaur(803)-Venusaur(1301),YES,YES,NO
Bulbasaur,520,LV17.5,13,9,7,Bulbasaur(520)-Ivysaur(803)-Venusaur(1301),YES,YES,NO
Bulbasaur,520,LV17,13,9,15,Bulbasaur(520)-Ivysaur(799)-Venusaur(1289),YES,YES,NO
Bulbasaur,520,LV17.5,13,10,6,Bulbasaur(520)-Ivysaur(803)-Venusaur(1301),YES,YES,NO
Bulbasaur,520,LV17,13,10,14,Bulbasaur(520)-Ivysaur(800)-Venusaur(1289),YES,YES,NO
Bulbasaur,520,LV17,13,14,9,Bulbasaur(520)-Ivysaur(798)-Venusaur(1286),YES,YES,NO
Bulbasaur,520,LV17,13,15,8,Bulbasaur(520)-Ivysaur(798)-Venusaur(1286),YES,YES,NO
Bulbasaur,520,LV18,14,0,8,Bulbasaur(520)-Ivysaur(809)-Venusaur(1317),YES,YES,NO
Bulbasaur,520,LV17.5,14,2,13,Bulbasaur(520)-Ivysaur(804)-Venusaur(1303),YES,YES,NO
Bulbasaur,520,LV18,14,3,4,Bulbasaur(520)-Ivysaur(807)-Venusaur(1314),YES,YES,NO
Bulbasaur,520,LV17.5,14,3,12,Bulbasaur(520)-Ivysaur(804)-Venusaur(1303),YES,YES,NO
Bulbasaur,520,LV18,14,4,3,Bulbasaur(520)-Ivysaur(807)-Venusaur(1314),YES,YES,NO
Bulbasaur,520,LV18,14,5,2,Bulbasaur(520)-Ivysaur(807)-Venusaur(1314),YES,YES,NO
